,quadrante,caracteristica
368,Eficiente (D-R+),Canal_2
369,Eficiente (D-R+),Canal_2
370,Lucrativo (D+R+),Canal_1
371,Lucrativo (D+R+),Canal_1
372,Eficiente (D-R+),Canal_2
373,Desafiador (D+R-),Canal_1
374,Eficiente (D-R+),Canal_2
375,Desafiador (D+R-),Canal_1
376,Lucrativo (D+R+),Canal_1
377,Estável (D-R-),Canal_1
378,Eficiente (D-R+),Canal_2
379,Eficiente (D-R+),Canal_2
380,Eficiente (D-R+),Canal_2
381,Eficiente (D-R+),Canal_2
382,Estável (D-R-),Canal_1
383,Lucrativo (D+R+),Canal_1
384,Eficiente (D-R+),Canal_1
385,Eficiente (D-R+),Canal_2
386,Eficiente (D-R+),Canal_2
387,Eficiente (D-R+),Canal_2
388,Eficiente (D-R+),Canal_2
389,Estável (D-R-),Canal_1
390,Eficiente (D-R+),Canal_1
391,Lucrativo (D+R+),Canal_1
392,Lucrativo (D+R+),Canal_1
393,Desafiador (D+R-),Canal_1
394,Desafiador (D+R-),Canal_1
395,Lucrativo (D+R+),Canal_1
396,Desafiador (D+R-),Canal_1
397,Lucrativo (D+R+),Canal_1
398,Desafiador (D+R-),Canal_2
399,Lucrativo (D+R+),Canal_2
400,Lucrativo (D+R+),Canal_2
401,Desafiador (D+R-),Canal_2
402,Desafiador (D+R-),Canal_2
403,Lucrativo (D+R+),Canal_2
404,Lucrativo (D+R+),Canal_1
405,Estável (D-R-),Canal_1
406,Eficiente (D-R+),Canal_2
407,Desafiador (D+R-),Canal_1
408,Eficiente (D-R+),Canal_2
409,Eficiente (D-R+),Canal_2
410,Estável (D-R-),Canal_1
411,Estável (D-R-),Canal_2
412,Estável (D-R-),Canal_2
413,Eficiente (D-R+),Canal_2
414,Eficiente (D-R+),Canal_2
415,Estável (D-R-),Canal_2
416,Eficiente (D-R+),Canal_1
417,Eficiente (D-R+),Canal_1
418,Estável (D-R-),Canal_2
419,Desafiador (D+R-),Canal_1
420,Estável (D-R-),Canal_2
421,Eficiente (D-R+),Canal_2
422,Estável (D-R-),Canal_2
423,Eficiente (D-R+),Canal_2
424,Estável (D-R-),Canal_2
425,Eficiente (D-R+),Canal_2
426,Eficiente (D-R+),Canal_1
427,Lucrativo (D+R+),Canal_1
428,Lucrativo (D+R+),Canal_2
429,Desafiador (D+R-),Canal_2
430,Lucrativo (D+R+),Canal_2
431,Desafiador (D+R-),Canal_2
432,Lucrativo (D+R+),Canal_2
433,Desafiador (D+R-),Canal_1
434,Lucrativo (D+R+),Canal_1
435,Lucrativo (D+R+),Canal_1
436,Lucrativo (D+R+),Canal_1
437,Lucrativo (D+R+),Canal_1
438,Lucrativo (D+R+),Canal_1
439,Desafiador (D+R-),Canal_1
440,Eficiente (D-R+),Canal_2
441,Eficiente (D-R+),Canal_2
442,Eficiente (D-R+),Canal_2
443,Desafiador (D+R-),Canal_1
444,Estável (D-R-),Canal_1
445,Estável (D-R-),Canal_1
446,Estável (D-R-),Canal_1
447,Lucrativo (D+R+),Canal_2
448,Estável (D-R-),Canal_2
449,Eficiente (D-R+),Canal_2
450,Desafiador (D+R-),Canal_2
451,Estável (D-R-),Canal_2
452,Lucrativo (D+R+),Canal_2
453,Desafiador (D+R-),Canal_2
454,Eficiente (D-R+),Canal_2
455,Desafiador (D+R-),Canal_2
456,Lucrativo (D+R+),Canal_2
457,Eficiente (D-R+),Canal_1
458,Desafiador (D+R-),Canal_1
459,Desafiador (D+R-),Canal_1
460,Estável (D-R-),Canal_2
461,Estável (D-R-),Canal_2
462,Estável (D-R-),Canal_1
463,Desafiador (D+R-),Canal_1
464,Lucrativo (D+R+),Canal_1
465,Lucrativo (D+R+),Canal_1
466,Lucrativo (D+R+),Canal_2
467,Desafiador (D+R-),Canal_2
468,Desafiador (D+R-),Canal_2
469,Lucrativo (D+R+),Canal_2
470,Lucrativo (D+R+),Canal_2
471,Desafiador (D+R-),Canal_2
472,Desafiador (D+R-),Canal_1
473,Lucrativo (D+R+),Canal_1
474,Lucrativo (D+R+),Canal_1
475,Lucrativo (D+R+),Canal_1
476,Desafiador (D+R-),Canal_1
477,Desafiador (D+R-),Canal_1
478,Eficiente (D-R+),Canal_2
479,Desafiador (D+R-),Canal_1
480,Lucrativo (D+R+),Canal_1
481,Lucrativo (D+R+),Canal_1
482,Eficiente (D-R+),Canal_2
483,Eficiente (D-R+),Canal_2
484,Lucrativo (D+R+),Canal_1
485,Lucrativo (D+R+),Canal_2
486,Desafiador (D+R-),Canal_1
487,Desafiador (D+R-),Canal_2
488,Desafiador (D+R-),Canal_1
489,Lucrativo (D+R+),Canal_1
490,Desafiador (D+R-),Canal_1
491,Lucrativo (D+R+),Canal_2
492,Lucrativo (D+R+),Canal_2
493,Desafiador (D+R-),Canal_2
494,Desafiador (D+R-),Canal_2
495,Desafiador (D+R-),Canal_1
496,Lucrativo (D+R+),Canal_1
497,Eficiente (D-R+),Canal_2
498,Eficiente (D-R+),Canal_2
499,Lucrativo (D+R+),Canal_1
500,Lucrativo (D+R+),Canal_1
501,Estável (D-R-),Canal_1
502,Eficiente (D-R+),Canal_2
503,Eficiente (D-R+),Canal_2
504,Eficiente (D-R+),Canal_2
505,Eficiente (D-R+),Canal_1
506,Lucrativo (D+R+),Canal_1
507,Desafiador (D+R-),Canal_1
508,Eficiente (D-R+),Canal_2
509,Desafiador (D+R-),Canal_1
510,Lucrativo (D+R+),Canal_1
511,Lucrativo (D+R+),Canal_1
512,Desafiador (D+R-),Canal_2
513,Lucrativo (D+R+),Canal_2
514,Lucrativo (D+R+),Canal_1
515,Lucrativo (D+R+),Canal_2
516,Lucrativo (D+R+),Canal_2
517,Desafiador (D+R-),Canal_2
518,Desafiador (D+R-),Canal_2
519,Eficiente (D-R+),Canal_2
520,Eficiente (D-R+),Canal_2
521,Lucrativo (D+R+),Canal_1
522,Lucrativo (D+R+),Canal_1
523,Eficiente (D-R+),Canal_2
524,Estável (D-R-),Canal_1
525,Estável (D-R-),Canal_1
526,Eficiente (D-R+),Canal_2
527,Eficiente (D-R+),Canal_2
528,Eficiente (D-R+),Canal_2
529,Eficiente (D-R+),Canal_1
530,Lucrativo (D+R+),Canal_1
531,Eficiente (D-R+),Canal_2
532,Eficiente (D-R+),Canal_2
533,Eficiente (D-R+),Canal_1
534,Lucrativo (D+R+),Canal_1
535,Eficiente (D-R+),Canal_2
536,Eficiente (D-R+),Canal_1
537,Lucrativo (D+R+),Canal_1
538,Eficiente (D-R+),Canal_1
539,Eficiente (D-R+),Canal_2
540,Eficiente (D-R+),Canal_2
541,Eficiente (D-R+),Canal_2
542,Estável (D-R-),Canal_1
543,Desafiador (D+R-),Canal_1
544,Lucrativo (D+R+),Canal_1
545,Desafiador (D+R-),Canal_2
546,Lucrativo (D+R+),Canal_2
547,Lucrativo (D+R+),Canal_1
548,Lucrativo (D+R+),Canal_1
549,Desafiador (D+R-),Canal_1
550,Desafiador (D+R-),Canal_2
551,Lucrativo (D+R+),Canal_2
552,Desafiador (D+R-),Canal_2
553,Lucrativo (D+R+),Canal_2
554,Eficiente (D-R+),Canal_2
555,Eficiente (D-R+),Canal_2
556,Lucrativo (D+R+),Canal_1
557,Lucrativo (D+R+),Canal_1
558,Desafiador (D+R-),Canal_1
559,Eficiente (D-R+),Canal_2
560,Lucrativo (D+R+),Canal_2
561,Lucrativo (D+R+),Canal_1
562,Desafiador (D+R-),Canal_1
563,Desafiador (D+R-),Canal_2
564,Lucrativo (D+R+),Canal_1
565,Lucrativo (D+R+),Canal_1
566,Desafiador (D+R-),Canal_2
567,Desafiador (D+R-),Canal_2
568,Lucrativo (D+R+),Canal_2
569,Lucrativo (D+R+),Canal_2
570,Lucrativo (D+R+),Canal_2
571,Desafiador (D+R-),Canal_1
572,Eficiente (D-R+),Canal_2
573,Eficiente (D-R+),Canal_2
574,Estável (D-R-),Canal_2
575,Estável (D-R-),Canal_2
576,Estável (D-R-),Canal_2
577,Lucrativo (D+R+),Canal_1
578,Lucrativo (D+R+),Canal_1
579,Eficiente (D-R+),Canal_2
580,Desafiador (D+R-),Canal_1
581,Desafiador (D+R-),Canal_2
582,Lucrativo (D+R+),Canal_2
583,Desafiador (D+R-),Canal_2
584,Desafiador (D+R-),Canal_1
585,Lucrativo (D+R+),Canal_2
586,Lucrativo (D+R+),Canal_1
587,Lucrativo (D+R+),Canal_2
588,Desafiador (D+R-),Canal_2
589,Desafiador (D+R-),Canal_1
590,Desafiador (D+R-),Canal_1
591,Lucrativo (D+R+),Canal_1
592,Lucrativo (D+R+),Canal_1
593,Estável (D-R-),Canal_1
594,Eficiente (D-R+),Canal_2
595,Eficiente (D-R+),Canal_2
596,Eficiente (D-R+),Canal_2
597,Lucrativo (D+R+),Canal_1
598,Lucrativo (D+R+),Canal_1
599,Estável (D-R-),Canal_2
600,Desafiador (D+R-),Canal_2
601,Eficiente (D-R+),Canal_2
602,Estável (D-R-),Canal_2
603,Lucrativo (D+R+),Canal_2
604,Eficiente (D-R+),Canal_2
605,Lucrativo (D+R+),Canal_2
606,Estável (D-R-),Canal_2
607,Desafiador (D+R-),Canal_1
608,Lucrativo (D+R+),Canal_1
609,Estável (D-R-),Canal_1
610,Desafiador (D+R-),Canal_2
611,Lucrativo (D+R+),Canal_1
612,Lucrativo (D+R+),Canal_1
613,Eficiente (D-R+),Canal_1
614,Estável (D-R-),Canal_2
615,Lucrativo (D+R+),Canal_2
616,Eficiente (D-R+),Canal_2
617,Desafiador (D+R-),Canal_1
618,Estável (D-R-),Canal_1
619,Lucrativo (D+R+),Canal_1
620,Desafiador (D+R-),Canal_2
621,Lucrativo (D+R+),Canal_2
622,Desafiador (D+R-),Canal_2
623,Lucrativo (D+R+),Canal_2
624,Desafiador (D+R-),Canal_2
625,Lucrativo (D+R+),Canal_2
626,Desafiador (D+R-),Canal_1
627,Lucrativo (D+R+),Canal_1
628,Lucrativo (D+R+),Canal_1
629,Lucrativo (D+R+),Canal_1
630,Lucrativo (D+R+),Canal_1
631,Lucrativo (D+R+),Canal_1
632,Eficiente (D-R+),Canal_2
633,Lucrativo (D+R+),Canal_1
634,Eficiente (D-R+),Canal_2
635,Eficiente (D-R+),Canal_2
636,Lucrativo (D+R+),Canal_1
637,Lucrativo (D+R+),Canal_2
638,Desafiador (D+R-),Canal_2
639,Lucrativo (D+R+),Canal_1
640,Desafiador (D+R-),Canal_1
641,Lucrativo (D+R+),Canal_1
642,Desafiador (D+R-),Canal_2
643,Desafiador (D+R-),Canal_2
644,Lucrativo (D+R+),Canal_2
645,Lucrativo (D+R+),Canal_2
646,Eficiente (D-R+),Canal_2
647,Eficiente (D-R+),Canal_2
648,Lucrativo (D+R+),Canal_1
649,Lucrativo (D+R+),Canal_1
650,Eficiente (D-R+),Canal_2
651,Lucrativo (D+R+),Canal_1
652,Eficiente (D-R+),Canal_2
653,Eficiente (D-R+),Canal_2
654,Eficiente (D-R+),Canal_2
655,Eficiente (D-R+),Canal_1
656,Lucrativo (D+R+),Canal_1
657,Lucrativo (D+R+),Canal_1
658,Lucrativo (D+R+),Canal_2
659,Desafiador (D+R-),Canal_2
660,Desafiador (D+R-),Canal_2
661,Lucrativo (D+R+),Canal_2
662,Lucrativo (D+R+),Canal_1
663,Desafiador (D+R-),Canal_1
664,Lucrativo (D+R+),Canal_1
665,Lucrativo (D+R+),Canal_1
666,Desafiador (D+R-),Canal_1
667,Lucrativo (D+R+),Canal_2
668,Desafiador (D+R-),Canal_2
669,Eficiente (D-R+),Canal_2
670,Lucrativo (D+R+),Canal_1
671,Lucrativo (D+R+),Canal_1
672,Eficiente (D-R+),Canal_2
673,Eficiente (D-R+),Canal_2
674,Desafiador (D+R-),Canal_1
675,Eficiente (D-R+),Canal_2
676,Desafiador (D+R-),Canal_1
677,Lucrativo (D+R+),Canal_1
678,Eficiente (D-R+),Canal_1
679,Eficiente (D-R+),Canal_2
680,Eficiente (D-R+),Canal_2
681,Eficiente (D-R+),Canal_2
682,Eficiente (D-R+),Canal_2
683,Eficiente (D-R+),Canal_1
684,Eficiente (D-R+),Canal_2
685,Lucrativo (D+R+),Canal_1
686,Lucrativo (D+R+),Canal_1
687,Eficiente (D-R+),Canal_1
688,Lucrativo (D+R+),Canal_1
689,Eficiente (D-R+),Canal_1
690,Eficiente (D-R+),Canal_2
691,Eficiente (D-R+),Canal_2
692,Eficiente (D-R+),Canal_2
693,Lucrativo (D+R+),Canal_2
694,Desafiador (D+R-),Canal_2
695,Lucrativo (D+R+),Canal_2
696,Lucrativo (D+R+),Canal_1
697,Lucrativo (D+R+),Canal_1
698,Lucrativo (D+R+),Canal_1
699,Lucrativo (D+R+),Canal_2
700,Desafiador (D+R-),Canal_2
701,Desafiador (D+R-),Canal_2
702,Eficiente (D-R+),Canal_2
703,Lucrativo (D+R+),Canal_1
704,Eficiente (D-R+),Canal_2
705,Lucrativo (D+R+),Canal_1
706,Lucrativo (D+R+),Canal_1
707,Eficiente (D-R+),Canal_2
708,Eficiente (D-R+),Canal_2
709,Eficiente (D-R+),Canal_2
710,Estável (D-R-),Canal_2
711,Eficiente (D-R+),Canal_2
712,Estável (D-R-),Canal_2
713,Eficiente (D-R+),Canal_1
714,Eficiente (D-R+),Canal_2
715,Estável (D-R-),Canal_2
716,Lucrativo (D+R+),Canal_1
717,Eficiente (D-R+),Canal_1
718,Estável (D-R-),Canal_2
719,Eficiente (D-R+),Canal_2
720,Eficiente (D-R+),Canal_2
721,Estável (D-R-),Canal_2
722,Estável (D-R-),Canal_2
723,Eficiente (D-R+),Canal_2
724,Eficiente (D-R+),Canal_1
725,Lucrativo (D+R+),Canal_1
726,Lucrativo (D+R+),Canal_1
727,Lucrativo (D+R+),Canal_2
728,Lucrativo (D+R+),Canal_2
729,Desafiador (D+R-),Canal_2
730,Desafiador (D+R-),Canal_2
731,Lucrativo (D+R+),Canal_2
732,Desafiador (D+R-),Canal_2
733,Lucrativo (D+R+),Canal_1
734,Lucrativo (D+R+),Canal_1
735,Lucrativo (D+R+),Canal_1
736,Lucrativo (D+R+),Canal_1
737,Eficiente (D-R+),Canal_2
738,Lucrativo (D+R+),Canal_1
739,Lucrativo (D+R+),Canal_1
740,Lucrativo (D+R+),Canal_1
741,Eficiente (D-R+),Canal_2
742,Eficiente (D-R+),Canal_2
743,Eficiente (D-R+),Canal_2
744,Estável (D-R-),Canal_2
745,Estável (D-R-),Canal_2
746,Eficiente (D-R+),Canal_2
747,Estável (D-R-),Canal_2
748,Estável (D-R-),Canal_2
749,Lucrativo (D+R+),Canal_1
750,Desafiador (D+R-),Canal_1
751,Estável (D-R-),Canal_1
752,Desafiador (D+R-),Canal_1
753,Estável (D-R-),Canal_1
754,Desafiador (D+R-),Canal_1
755,Lucrativo (D+R+),Canal_2
756,Lucrativo (D+R+),Canal_2
757,Desafiador (D+R-),Canal_1
758,Desafiador (D+R-),Canal_2
759,Desafiador (D+R-),Canal_1
760,Lucrativo (D+R+),Canal_1
761,Desafiador (D+R-),Canal_1
762,Estável (D-R-),Canal_2
763,Desafiador (D+R-),Canal_1
764,Eficiente (D-R+),Canal_1
765,Eficiente (D-R+),Canal_2
766,Eficiente (D-R+),Canal_2
767,Eficiente (D-R+),Canal_2
768,Eficiente (D-R+),Canal_2
769,Desafiador (D+R-),Canal_1
770,Eficiente (D-R+),Canal_1
771,Estável (D-R-),Canal_2
772,Desafiador (D+R-),Canal_1
773,Estável (D-R-),Canal_1
774,Eficiente (D-R+),Canal_2
775,Eficiente (D-R+),Canal_2
776,Desafiador (D+R-),Canal_1
777,Eficiente (D-R+),Canal_1
778,Estável (D-R-),Canal_2
779,Eficiente (D-R+),Canal_2
780,Estável (D-R-),Canal_1
781,Desafiador (D+R-),Canal_1
782,Eficiente (D-R+),Canal_1
783,Eficiente (D-R+),Canal_2
784,Estável (D-R-),Canal_1
785,Estável (D-R-),Canal_2
786,Lucrativo (D+R+),Canal_2
787,Lucrativo (D+R+),Canal_2
788,Desafiador (D+R-),Canal_2
789,Desafiador (D+R-),Canal_1
790,Lucrativo (D+R+),Canal_1
791,Lucrativo (D+R+),Canal_1
792,Lucrativo (D+R+),Canal_1
793,Estável (D-R-),Canal_2
794,Lucrativo (D+R+),Canal_1
795,Eficiente (D-R+),Canal_2
796,Eficiente (D-R+),Canal_2
797,Desafiador (D+R-),Canal_1
798,Eficiente (D-R+),Canal_2
799,Eficiente (D-R+),Canal_2
800,Desafiador (D+R-),Canal_1
801,Eficiente (D-R+),Canal_1
802,Estável (D-R-),Canal_2
803,Estável (D-R-),Canal_1
804,Desafiador (D+R-),Canal_1
805,Lucrativo (D+R+),Canal_2
806,Desafiador (D+R-),Canal_2
807,Lucrativo (D+R+),Canal_2
808,Lucrativo (D+R+),Canal_1
809,Lucrativo (D+R+),Canal_1
810,Estável (D-R-),Canal_1
811,Eficiente (D-R+),Canal_2
812,Lucrativo (D+R+),Canal_1
813,Eficiente (D-R+),Canal_2
814,Desafiador (D+R-),Canal_1
815,Estável (D-R-),Canal_2
816,Eficiente (D-R+),Canal_1
817,Desafiador (D+R-),Canal_1
818,Eficiente (D-R+),Canal_2
819,Eficiente (D-R+),Canal_2
820,Estável (D-R-),Canal_1
821,Estável (D-R-),Canal_2
822,Lucrativo (D+R+),Canal_1
823,Lucrativo (D+R+),Canal_1
824,Lucrativo (D+R+),Canal_2
825,Lucrativo (D+R+),Canal_2
826,Desafiador (D+R-),Canal_2
827,Lucrativo (D+R+),Canal_1
828,Lucrativo (D+R+),Canal_2
829,Desafiador (D+R-),Canal_1
830,Desafiador (D+R-),Canal_1
831,Desafiador (D+R-),Canal_1
832,Lucrativo (D+R+),Canal_1
833,Estável (D-R-),Canal_2
834,Estável (D-R-),Canal_2
835,Eficiente (D-R+),Canal_2
836,Estável (D-R-),Canal_2
837,Estável (D-R-),Canal_2
838,Eficiente (D-R+),Canal_2
839,Desafiador (D+R-),Canal_1
840,Estável (D-R-),Canal_1
841,Desafiador (D+R-),Canal_1
842,Estável (D-R-),Canal_1
843,Estável (D-R-),Canal_2
844,Estável (D-R-),Canal_2
845,Eficiente (D-R+),Canal_2
846,Eficiente (D-R+),Canal_1
847,Estável (D-R-),Canal_1
848,Estável (D-R-),Canal_1
849,Estável (D-R-),Canal_1
850,Estável (D-R-),Canal_2
851,Estável (D-R-),Canal_1
852,Eficiente (D-R+),Canal_2
853,Eficiente (D-R+),Canal_2
854,Desafiador (D+R-),Canal_1
855,Estável (D-R-),Canal_1
856,Lucrativo (D+R+),Canal_1
857,Desafiador (D+R-),Canal_1
858,Desafiador (D+R-),Canal_1
859,Eficiente (D-R+),Canal_2
860,Lucrativo (D+R+),Canal_2
861,Estável (D-R-),Canal_2
862,Estável (D-R-),Canal_1
863,Lucrativo (D+R+),Canal_2
864,Estável (D-R-),Canal_2
865,Desafiador (D+R-),Canal_2
866,Lucrativo (D+R+),Canal_2
867,Lucrativo (D+R+),Canal_1
868,Desafiador (D+R-),Canal_2
869,Lucrativo (D+R+),Canal_2
870,Lucrativo (D+R+),Canal_1
871,Lucrativo (D+R+),Canal_1
872,Estável (D-R-),Canal_2
873,Desafiador (D+R-),Canal_1
874,Estável (D-R-),Canal_2
875,Eficiente (D-R+),Canal_2
876,Desafiador (D+R-),Canal_1
877,Lucrativo (D+R+),Canal_1
878,Desafiador (D+R-),Canal_1
879,Lucrativo (D+R+),Canal_2
880,Lucrativo (D+R+),Canal_2
881,Desafiador (D+R-),Canal_2
882,Lucrativo (D+R+),Canal_1
883,Lucrativo (D+R+),Canal_1
884,Desafiador (D+R-),Canal_1
885,Lucrativo (D+R+),Canal_1
886,Desafiador (D+R-),Canal_1
887,Estável (D-R-),Canal_2
888,Eficiente (D-R+),Canal_2
889,Estável (D-R-),Canal_2
890,Desafiador (D+R-),Canal_2
891,Desafiador (D+R-),Canal_1
892,Lucrativo (D+R+),Canal_1
893,Lucrativo (D+R+),Canal_1
894,Lucrativo (D+R+),Canal_2
895,Lucrativo (D+R+),Canal_2
896,Lucrativo (D+R+),Canal_2
897,Desafiador (D+R-),Canal_2
898,Desafiador (D+R-),Canal_1
899,Lucrativo (D+R+),Canal_1
900,Lucrativo (D+R+),Canal_1
901,Desafiador (D+R-),Canal_2
902,Estável (D-R-),Canal_2
903,Eficiente (D-R+),Canal_2
904,Eficiente (D-R+),Canal_2
905,Desafiador (D+R-),Canal_1
906,Desafiador (D+R-),Canal_1
907,Lucrativo (D+R+),Canal_1
908,Lucrativo (D+R+),Canal_1
909,Estável (D-R-),Canal_2
910,Desafiador (D+R-),Canal_1
911,Eficiente (D-R+),Canal_2
912,Estável (D-R-),Canal_2
913,Estável (D-R-),Canal_1
914,Eficiente (D-R+),Canal_2
915,Eficiente (D-R+),Canal_2
916,Eficiente (D-R+),Canal_1
917,Desafiador (D+R-),Canal_1
918,Estável (D-R-),Canal_2
919,Estável (D-R-),Canal_1
920,Eficiente (D-R+),Canal_2
921,Estável (D-R-),Canal_2
922,Estável (D-R-),Canal_2
923,Estável (D-R-),Canal_1
924,Eficiente (D-R+),Canal_1
925,Desafiador (D+R-),Canal_1
926,Lucrativo (D+R+),Canal_2
927,Lucrativo (D+R+),Canal_2
928,Lucrativo (D+R+),Canal_1
929,Lucrativo (D+R+),Canal_1
930,Desafiador (D+R-),Canal_2
931,Desafiador (D+R-),Canal_1
932,Lucrativo (D+R+),Canal_1
933,Eficiente (D-R+),Canal_1
934,Estável (D-R-),Canal_2
935,Eficiente (D-R+),Canal_2
936,Desafiador (D+R-),Canal_1
937,Eficiente (D-R+),Canal_2
938,Eficiente (D-R+),Canal_1
939,Desafiador (D+R-),Canal_1
940,Estável (D-R-),Canal_2
941,Eficiente (D-R+),Canal_2
942,Eficiente (D-R+),Canal_2
943,Desafiador (D+R-),Canal_1
944,Estável (D-R-),Canal_2
945,Desafiador (D+R-),Canal_1
946,Desafiador (D+R-),Canal_1
947,Eficiente (D-R+),Canal_1
948,Eficiente (D-R+),Canal_2
949,Eficiente (D-R+),Canal_2
950,Lucrativo (D+R+),Canal_1
951,Desafiador (D+R-),Canal_2
952,Lucrativo (D+R+),Canal_1
953,Lucrativo (D+R+),Canal_1
954,Lucrativo (D+R+),Canal_2
955,Lucrativo (D+R+),Canal_2
956,Eficiente (D-R+),Canal_1
957,Lucrativo (D+R+),Canal_1
958,Estável (D-R-),Canal_2
959,Eficiente (D-R+),Canal_2
960,Eficiente (D-R+),Canal_2
961,Desafiador (D+R-),Canal_1
962,Estável (D-R-),Canal_1
963,Desafiador (D+R-),Canal_1
964,Desafiador (D+R-),Canal_1
965,Estável (D-R-),Canal_1
966,Estável (D-R-),Canal_1
967,Desafiador (D+R-),Canal_1
968,Desafiador (D+R-),Canal_1
969,Estável (D-R-),Canal_1
970,Lucrativo (D+R+),Canal_1
971,Desafiador (D+R-),Canal_1
972,Lucrativo (D+R+),Canal_1
973,Estável (D-R-),Canal_1
974,Lucrativo (D+R+),Canal_2
975,Eficiente (D-R+),Canal_2
976,Lucrativo (D+R+),Canal_2
977,Desafiador (D+R-),Canal_2
978,Estável (D-R-),Canal_2
979,Estável (D-R-),Canal_2
980,Estável (D-R-),Canal_2
981,Lucrativo (D+R+),Canal_2
982,Desafiador (D+R-),Canal_1
983,Lucrativo (D+R+),Canal_1
984,Desafiador (D+R-),Canal_2
985,Lucrativo (D+R+),Canal_2
986,Lucrativo (D+R+),Canal_2
987,Desafiador (D+R-),Canal_2
988,Lucrativo (D+R+),Canal_2
989,Desafiador (D+R-),Canal_2
990,Lucrativo (D+R+),Canal_1
991,Lucrativo (D+R+),Canal_1
992,Desafiador (D+R-),Canal_1
993,Desafiador (D+R-),Canal_1
994,Estável (D-R-),Canal_2
995,Lucrativo (D+R+),Canal_2
996,Eficiente (D-R+),Canal_2
997,Desafiador (D+R-),Canal_1
998,Desafiador (D+R-),Canal_1
999,Lucrativo (D+R+),Canal_1
1000,Desafiador (D+R-),Canal_1
1001,Desafiador (D+R-),Canal_1
1002,Lucrativo (D+R+),Canal_1
1003,Desafiador (D+R-),Canal_2
1004,Desafiador (D+R-),Canal_2
1005,Lucrativo (D+R+),Canal_1
1006,Desafiador (D+R-),Canal_1
1007,Lucrativo (D+R+),Canal_2
1008,Lucrativo (D+R+),Canal_2
1009,Lucrativo (D+R+),Canal_2
1010,Desafiador (D+R-),Canal_2
1011,Desafiador (D+R-),Canal_1
1012,Estável (D-R-),Canal_2
1013,Desafiador (D+R-),Canal_1
1014,Lucrativo (D+R+),Canal_1
1015,Lucrativo (D+R+),Canal_1
1016,Eficiente (D-R+),Canal_2
1017,Lucrativo (D+R+),Canal_2
